Año,Producción (millones de metros cúbicos) Gas Natural
1990,2120.0
1991,1772.0
1992,1999.0
1993,1951.0
1994,2185.0
1995,2103.0
1996,2112.0
1997,2227.0
1998,1992.0
1999,2246.0
2000,2436.0
2001,2582.0
2002,2539.0
2003,2176.0
2004,2104.0
2005,2294.0
2006,2199.0
2007,2164.5658597350503
2008,2108.4338788566533
2009,2523.093910204466
2010,1948.1474999999998
2011,1581.4708817690992
2012,1231.64850021703
2013,965.3494149622401
2014,790.14752804
2015,1006.4829377358
2016,1204.6427476945428
2017,1206.0
2018,1021.0
