Comuna,Cantidad de CESFAM al 2020
Aisén,3
Algarrobo,1
Alhué,2
Alto biobío,1
Alto del carmen,1
Alto hospicio,5
Ancud,5
Angol,4
Antofagasta,10
Antuco,1
Arauco,3
Arica,8
Buin,5
Bulnes,2
Cabrero,3
Calama,7
Calbuco,2
Caldera,2
Calera,4
Calera de tango,2
Calle larga,1
Camiña,1
Canela,1
Cañete,1
Carahue,2
Cartagena,2
Castro,6
Catemu,2
Cauquenes,4
Cerrillos,3
Cerro navia,5
Chaitén,1
Chañaral,1
Chépica,1
Chiguayante,3
Chillán ,11
Chillán viejo,2
Cholchol,1
Chonchi,2
Cisnes,1
Cobquecura,1
Cochamó,1
Codegua,2
Coihueco,2
Colbún,2
Colchane,1
Colina,3
Collipulli,1
Coltauco,1
Con con,1
Concepción,8
Conchalí,7
Constitución,3
Contulmo,1
Copiapó,8
Coquimbo,9
Coronel,6
Coyhaique,1
Cunco,2
Curacaví,2
Curaco de vélez,1
Curanilahue,1
Curicó,8
Dalcahue,1
Diego de almagro,1
Doñihue,2
El bosque,7
El monte,2
El quisco,2
El tabo,1
Empedrado,1
Ercilla,1
Estación central,4
Florida,1
Freire,3
Freirina,1
Frutillar,2
Futrono,2
Hijuelas,1
Hualaihué,2
Hualpén,8
Hualqui,2
Huara,1
Huasco,1
Huechuraba,4
Illapel,2
Independencia,3
Iquique,5
Isla de maipo,4
Juan fernández,1
La cisterna,3
La cruz,1
La estrella,1
La florida,10
La granja,6
La higuera,1
La ligua,1
La pintana,6
La reina,3
La serena,10
La unión,3
Lago ranco,2
Laja,1
Lampa,4
Lanco,1
Las cabras,1
Las condes,2
Lautaro,4
Lebu,1
Linares,5
Llaillay,1
Llanquihue,1
Lo barnechea,3
Lo espejo,4
Lo prado,4
Longaví,3
Los álamos,2
Los andes,3
Los ángeles,13
Los lagos,3
Los muermos,1
Lota,3
Lumaco,1
Machalí,2
Macul,3
Máfil,2
Maipú,14
Malloa,2
Maria pinto,1
Mariquina,3
Maule,2
Maullín,1
Melipeuco,1
Melipilla,7
Molina,1
Monte patria,4
Mostazal,1
Mulchén,2
Nacimiento,2
Nancagua,1
Natales,1
Navidad,1
Negrete,1
Ninhue,1
Nogales,4
Nueva imperial,2
Ñiquén,2
Ñuñoa,4
Olivar,2
Olmué,1
Osorno,8
Ovalle,9
Padre hurtado,1
Padre las casas,4
Paiguano,1
Paillaco,1
Paine,2
Palmilla,1
Panguipulli,5
Panquehue,1
Papudo,1
Paredones,1
Parral,3
Pedro aguirre cerda,6
Pelarco,1
Pelluhue,2
Pemuco,1
Pencahue,2
Penco,5
Peñaflor,2
Peñalolén,7
Peralillo,1
Petorca,2
Peumo,1
Pica,1
Pinto,1
Pirque,1
Pitrufquén,1
Portezuelo,1
Pozo almonte,1
Providencia,5
Puchuncaví,2
Pucón,2
Pudahuel,12
Puente alto,8
Puerto montt,10
Puerto varas,1
Punitaqui,1
Punta arenas,8
Puqueldón,1
Purén,1
Purranque,3
Putaendo,2
Putre,1
Puyehue,2
Quellón,4
Quemchi,2
Quilicura,6
Quilleco,2
Quillón,2
Quillota,8
Quilpué,6
Quinchao,2
Quinta de tilcoco,2
Quinta normal,6
Rancagua,9
Ránquil,1
Rauco,1
Recoleta,4
Renaico,1
Renca,4
Rengo,3
Requínoa,2
Retiro,3
Rinconada,1
Río bueno,1
Río claro,1
Río hurtado,1
Río negro,2
Romeral,1
Sagrada familia,2
San antonio,7
San bernardo,11
San carlos,4
San clemente,4
San esteban,2
San fabián,1
San felipe,4
San fernando,4
San ignacio,2
San javier,2
San joaquín,9
San juan de la costa,2
San miguel,3
San nicolás,1
San pablo,1
San pedro,1
San pedro de atacama,1
San pedro de la paz,6
San rafael,1
San ramón,4
San rosendo,1
San vicente,1
Santa bárbara,1
Santa cruz,2
Santa maria,2
Santiago,6
Santo domingo,1
Talagante,2
Talca,11
Talcahuano,9
Temuco,13
Teno,2
Teodoro schmidt,3
Tierra amarilla,1
Tiltil,1
Tirúa,2
Tome,6
Treguaco,1
Valdivia,11
Vallenar,4
Valparaíso,15
Vichuquén,1
Victoria,2
Vicuña,1
Vilcún,2
Villa alegre,2
Villa alemana,3
Villarrica,6
Viña del mar,14
Vitacura,1
Yerbas buenas,1
Yumbel,1
Yungay,1
Zapallar,1
